date	United States	South Korea	Italy	China
2020-05-07	24128.0	4.0	1444.0	2.0
2020-05-08	28369.0	12.0	1401.0	6.0
2020-05-09	26957.0	18.0	1327.0	0.0
2020-05-10	25612.0	34.0	1083.0	15.0
2020-05-11	20258.0	35.0	802.0	19.0
2020-05-12	18117.0	27.0	744.0	1.0
2020-05-13	22048.0	26.0	1402.0	7.0
2020-05-14	20782.0	29.0	888.0	6.0
2020-05-15	27143.0	27.0	992.0	5.0
2020-05-16	25508.0	19.0	789.0	9.0
2020-05-17	24487.0	13.0	875.0	6.0
2020-05-18	18873.0	15.0	675.0	10.0
2020-05-19	21841.0	13.0	451.0	9.0
2020-05-20	19970.0	32.0	813.0	2.0
2020-05-21	23285.0	12.0	665.0	2.0
2020-05-22	25434.0	20.0	642.0	12.0
2020-05-23	24147.0	23.0	652.0	2.0
2020-05-24	21236.0	25.0	669.0	3.0
2020-05-25	20568.0	16.0	531.0	11.0
2020-05-26	19064.0	19.0	300.0	7.0
2020-05-27	18910.0	40.0	397.0	1.0
2020-05-28	18721.0	79.0	584.0	3.0
2020-05-29	21817.0	58.0	593.0	0.0
2020-05-30	25337.0	39.0	516.0	17.0
2020-05-31	23297.0	27.0	416.0	5.0
2020-06-01	19807.0	35.0	355.0	19.0
2020-06-02	21086.0	38.0	178.0	7.0
2020-06-03	20544.0	49.0	318.0	5.0
2020-06-04	19699.0	39.0	321.0	1.0
2020-06-05	21140.0	39.0	177.0	11.0
2020-06-06	25178.0	51.0	518.0	6.0
2020-06-07	22223.0	57.0	270.0	9.0
2020-06-08	22302.0	38.0	197.0	5.0
2020-06-09	18822.0	38.0	280.0	3.0
2020-06-10	18665.0	50.0	283.0	4.0
2020-06-11	20614.0	45.0	202.0	11.0
2020-06-12	22883.0	56.0	379.0	7.0
2020-06-13	25639.0	48.0	163.0	12.0
2020-06-14	25540.0	33.0	346.0	60.0
2020-06-15	19543.0	37.0	338.0	47.0
2020-06-16	19957.0	34.0	301.0	43.0
2020-06-17	23705.0	43.0	210.0	44.0
